bagging_fraction;feature_fraction;l1;l2;max_depth;minchild;target
0,82269769437873;0,8795864755491654;3,643673167505531;1,0544034176781043;14,198866797368053;40,98220707470242;0,7852340761029446
0,9412062022546018;0,2973195054197135;1,2799621564898116;0,07203406243608279;6,283437413034537;18,519639591257977;0,7843475886824641
0,8370988276151781;0,8337548392300117;1,35460401687385;0,8206436747924062;17,407364871181056;10,720155697657859;0,7851055771232446
0,971358121572873;0,6567649610573583;2,7651285211727434;2,805707392349148;11,664105886666114;12,992542951810567;0,7856700038753017
0,802120410580132;0,8070405742337969;3,2820532406172305;2,8267679179418854;14,684288871009485;17,02447005922214;0,7856445827204388
0,9093769942122704;0,3069362591869018;0,8731817362657124;1,0821307725041855;6,8223694486506385;22,508539481824847;0,7841812527566157
0,8291134899066879;0,5114037774124081;2,638259149947839;0,9157275482358406;7,075771829951012;31,861018666889848;0,7855576151361763
0,8772612761573751;0,1677776381335968;2,8099958855490765;1,9442150356574561;13,60514128649032;13,515926418321744;0,7760980971246303
0,9760412471955375;0,7270065286009975;1,2623870734080418;2,7812715676185826;10,781757800426359;21,971810019209702;0,7854325526003729
0,9548916032477258;0,8032388088426619;2,407411586501122;0,9087021752451798;10,758062352130185;28,765978170784944;0,7853290596909362
0,995593630680678;0,5816319010063021;4,176479794607736;0,2561275155264974;11,347780679934868;45,514085711140126;0,7856001192505027
0,8801242489098628;0,5361377255323717;3,2096109513275586;1,4208915429228046;12,326463631050412;31,517764434292033;0,78555809447649
0,971433297398386;0,48119833237140053;4,315685738821348;1,982743173198433;12,15649251505046;40,990741275461154;0,7855846011846853
0,9616671273839271;0,7368438631275793;1,3995963334673633;1,366318841795751;10,16943885667258;47,90441001375859;0,7851492360472226
0,8006698513805078;0,5893069765996153;1,7269089775048563;1,436385188986018;17,777810793697427;13,774836222637536;0,7854238750596905
0,8670646867511191;0,8418415468735448;1,452200064259358;0,1415499380139168;9,49195831370471;25,824891512459907;0,7850812982294524
0,814389536463206;0,5067387199159197;2,6029186050664075;2,8051377447958896;14,574206556116376;44,567948266505475;0,7853503041218527
0,8550441262429676;0,5853373003887501;2,058126759160475;1,1062706061832244;17,414593028112417;5,234159871937847;0,7855125050833194
